simlexorig999,simverb3500,card660
0.58941,0.47169,0.46754
0.60956,0.49407,0.46731
0.62735,0.49549,0.47025
0.63372,0.51504,0.46691
0.63553,0.5223,0.46533
0.64478,0.5339,0.45345
0.64017,0.53443,0.45417
0.64645,0.53835,0.45529
0.64643,0.53579,0.46479
0.6527,0.54241,0.45814
0.65556,0.53925,0.44902
0.65337,0.54101,0.44315
0.65778,0.54992,0.45208
0.65132,0.54698,0.45628
0.65342,0.54521,0.45197
0.65785,0.5502,0.45759
0.65549,0.55079,0.45491
0.6556,0.55444,0.44533
0.65988,0.55974,0.4461
0.65861,0.55,0.44648
0.65834,0.55751,0.45031
0.65804,0.56025,0.43789
0.65948,0.55245,0.44439
0.6562,0.55566,0.45675
0.64845,0.55818,0.44646
0.65752,0.55536,0.44732
0.65892,0.55968,0.44617
0.65908,0.56158,0.44672
0.65937,0.55773,0.44829
0.65708,0.558,0.4418
0.66087,0.56364,0.44508
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.66261,0.56255,0.44535
0.65826,0.56294,0.43579
0.66032,0.56167,0.44426
0.66118,0.56376,0.44408
0.66118,0.56376,0.44408
0.66115,0.56416,0.45091
0.65919,0.56384,0.43228
0.65847,0.56204,0.44578
0.65847,0.56204,0.44578
0.65847,0.56204,0.44578
0.66391,0.56674,0.43002
0.66391,0.56674,0.43002
0.66564,0.5655,0.43102
0.66342,0.56369,0.43844
0.66222,0.56473,0.43239
0.66222,0.56473,0.43239
0.66224,0.56522,0.42925
0.66224,0.56522,0.42925
0.66735,0.56897,0.44322
0.66436,0.5665,0.44153
0.66436,0.5665,0.44153
0.66436,0.5665,0.44153
0.66436,0.5665,0.44153
0.66436,0.5665,0.44153
0.66436,0.5665,0.44153
0.66436,0.5665,0.44153
0.66436,0.5665,0.44153
0.66436,0.5665,0.44153
0.66436,0.5665,0.44153
0.66355,0.56919,0.44098
0.66355,0.56919,0.44098
0.66355,0.56919,0.44098
0.66355,0.56919,0.44098
0.66355,0.56919,0.44098
0.66355,0.56919,0.44098
0.66355,0.56919,0.44098
0.66355,0.56919,0.44098
0.66355,0.56919,0.44098
0.66253,0.56826,0.43609
0.6654,0.56433,0.43169
0.66448,0.56923,0.44301
0.66448,0.56923,0.44301
0.66058,0.56488,0.44217
0.66058,0.56488,0.44217
0.6598,0.56896,0.44053
0.66123,0.56791,0.44117
0.66287,0.56662,0.42883
0.66287,0.56662,0.42883
0.66287,0.56662,0.42883
