simlexorig999,simverb3500,card660
0.5881,0.47218,0.48786
0.61107,0.49473,0.4826
0.62599,0.50716,0.49012
0.63569,0.52471,0.47092
0.64208,0.52677,0.47872
0.64473,0.53399,0.47807
0.65636,0.54974,0.46423
0.6527,0.54229,0.46865
0.65458,0.55174,0.46743
0.66387,0.55563,0.46203
0.65743,0.55827,0.46887
0.66458,0.55676,0.46308
0.66119,0.56051,0.47117
0.67252,0.56724,0.46619
0.66802,0.56684,0.46694
0.67208,0.57715,0.46676
0.67474,0.57305,0.46264
0.67189,0.57249,0.46168
0.6762,0.57844,0.47177
0.67629,0.57856,0.46135
0.68101,0.58192,0.46452
0.67474,0.57526,0.46703
0.67706,0.58165,0.46465
0.67515,0.58661,0.46173
0.67738,0.58177,0.45776
0.67741,0.58147,0.46179
0.67741,0.58147,0.46179
0.67718,0.57916,0.46482
0.67534,0.57546,0.46098
0.67735,0.58382,0.4619
0.67735,0.58382,0.4619
0.67919,0.58314,0.45584
0.67978,0.58489,0.46021
0.68056,0.58309,0.45939
0.68011,0.58792,0.45422
0.68011,0.58792,0.45422
0.67965,0.58714,0.46447
0.68046,0.58643,0.45305
0.67628,0.5829,0.45936
0.67628,0.5829,0.45936
0.67764,0.58624,0.46
0.68305,0.59171,0.46001
0.68305,0.59171,0.46001
0.68305,0.59171,0.46001
0.67515,0.59175,0.45818
0.67515,0.59175,0.45818
0.67515,0.59175,0.45818
0.67721,0.58535,0.45035
0.67863,0.59158,0.45746
0.68131,0.5933,0.44885
0.68444,0.59447,0.46138
0.68444,0.59447,0.46138
0.68238,0.59082,0.46138
0.68286,0.5957,0.45583
0.68356,0.59696,0.45663
0.68308,0.59214,0.45928
0.67968,0.59066,0.46313
0.67968,0.59066,0.46313
0.67968,0.59066,0.46313
0.68037,0.59264,0.46087
0.67553,0.59707,0.46195
0.68422,0.59299,0.4601
0.68435,0.59672,0.45396
0.68271,0.59203,0.45293
0.68271,0.59203,0.45293
0.68271,0.59203,0.45293
0.68271,0.59203,0.45293
0.68271,0.59203,0.45293
0.68271,0.59203,0.45293
0.68271,0.59203,0.45293
0.68271,0.59203,0.45293
0.68271,0.59203,0.45293
0.68449,0.59677,0.45307
0.68449,0.59677,0.45307
0.68499,0.59698,0.45694
0.68499,0.59698,0.45694
0.68499,0.59698,0.45694
0.68499,0.59698,0.45694
0.68499,0.59698,0.45694
0.68499,0.59698,0.45694
0.68499,0.59698,0.45694
0.68499,0.59698,0.45694
0.68499,0.59698,0.45694
0.68499,0.59698,0.45694
0.68499,0.59698,0.45694
0.68078,0.59323,0.45875
0.68078,0.59323,0.45875
0.68493,0.60019,0.46315
0.68493,0.60019,0.46315
0.68493,0.60019,0.46315
0.68493,0.60019,0.46315
0.68493,0.60019,0.46315
0.68237,0.59607,0.46251
0.68237,0.59607,0.46251
0.68189,0.59946,0.45404
0.68189,0.59946,0.45404
0.68189,0.59946,0.45404
0.68189,0.59946,0.45404
0.68501,0.59907,0.45685
0.68501,0.59907,0.45685
